slug,title,author,isbn,status,first_published,date_updated,notes
at-the-existentialist-caf,At the Existentialist Café,Sarah Bakewell,,read,2016,,
at-the-mountains-of-madness,At the Mountains of Madness,H.P. Lovecraft,9781365199547,read,1968,,
attack-surface,Attack Surface,Cory Doctorow,9781250757524,want,2020,,
attacking-network-protocols,Attacking Network Protocols,James Forshaw,9781593278441,read,2018,,
augustus,Augustus,John Williams,,read,1972,,
aura,Aura,Carlos Fuentes,,read,1962,,
aurlien,Aurélien,Louis Aragon,,read,1944,,
aurora,Aurora,Kim Stanley Robinson,9780316378741,want,2015,,
aurora-floyd,Aurora Floyd,Mary Elizabeth Braddon,,read,1863,,
aurora-leigh,Aurora Leigh,Elizabeth Barrett Browning,,read,1999,,
austerlitz,Austerlitz,W.G. Sebald,9780679645412,read,2001,,
authority,Authority,Jeff VanderMeer,9780374104108,read,2001,,
autobiography-of-red,Autobiography of Red,Anne Carson,9780345807014,read,1999,,
automate-the-boring-stuff-with-python-practical-programming-for-total-beginners,Automate the Boring Stuff with Python: Practical Programming for Total Beginners,Al Sweigart,9781593279929,read,2019,,
automated-machine-learning,Automated Machine Learning,"Frank Hutter, Lars Kotthoff, Joaquin Vanschoren",9783030053185,read,2019,,
autonomous,Autonomous,Annalee Newitz,9780356511207,read,2017,,
averno,Averno,Louise Glück,9781466875593,want,2006,,
avesta,Avesta,Zoroaster (attributed),,read,,,
avogadro-corp,Avogadro Corp,William Hertling,9780984755714,read,2014,,
axiomatic,Axiomatic,Greg Egan,9781922240026,read,1995,,
b-atrix,Béatrix,Honoré de Balzac,,read,1901,,
babbitt,Babbitt,Sinclair Lewis,9786558946564,read,1922,,
babel,Babel,R.F. Kuang,9780008501839,read,2022,,
babel-17,Babel-17,Samuel R. Delany,,read,1966,,
badenheim-1939,Badenheim 1939,Aharon Appelfeld,,read,1981,,
ball-lightning,Ball Lightning,Liu Cixin,9780765394071,want,2018,,
baltasar-and-blimunda,Baltasar and Blimunda,José Saramago,9780547537177,read,1988,,
bambi,Bambi,Felix Salten,9788537609316,read,2011,,
band-of-brothers,Band of Brothers,Stephen E. Ambrose,,read,1992,,
barchester-towers,Barchester Towers,Anthony Trollope,9789360463441,read,1815,,
barkskins,Barkskins,Annie Proulx,1535388463,want,2016,,
barnaby-rudge,Barnaby Rudge,Charles Dickens,,read,1840,,
barrayar,Barrayar,Lois McMaster Bujold,,read,1991,,
barriers-burned-away,Barriers Burned Away,Edward Payson Roe,,read,1900,,
bartleby-and-benito-cereno,Bartleby and Benito Cereno,Herman Melville,8809020839,read,2001,,
bashan-and-i,Bashan and I,Thomas Mann,9780812218336,read,2002,,
basic-economics,Basic Economics,Thomas Sowell,9780465056842,read,2000,,
basic-writings,Basic Writings,Martin Heidegger,9780060637637,want,2010,,
bearing-an-hourglass,Bearing an Hourglass,Piers Anthony,9780307815620,read,2012,,
beastie-boys-book,Beastie Boys Book,"Michael Diamond, Adam Horovitz",9780812995541,read,2018,,
before-adam,Before Adam,Jack London,9781513275246,read,2021,,
before-they-are-hanged,Before They Are Hanged,Joe Abercrombie,9780575091511,read,2007,,
beggars-in-spain,Beggars in Spain,Nancy Kress,1612420575,read,1991,,
beginning-of-infinity,Beginning of Infinity,David Deutsch,9781101549827,want,2008,,
beginnings,Beginnings,Edward Said,023105937X,read,1975,,
behemoth,Behemoth,Thomas Hobbes,9780198248712,read,1680,,
behemoth-2,Behemoth,Peter Watts,9780765311726,read,2004,,
behind-a-mask,Behind a Mask,Louisa May Alcott,9798673543092,read,2020,,
behind-that-curtain,Behind That Curtain,Earl Derr Biggers,1542364795,read,2017,,
